account_id,signup_date,quarter,quarter_start,quarter_end,active_days,usage_count,usage_hours,errors,features_used,tickets_opened,escalations,avg_satisfaction,subscription_id_asof_qend,plan_tier,seats,mrr_amount,arr_amount,billing_frequency,end_date_inferred,account_churn_event_count_in_quarter,account_churn_event_in_quarter,account_churn_event_count_in_next_quarter,account_churn_event_in_next_quarter,account_churn_event_in_second_next_quarter,subscription_ends_in_quarter,subscription_end_in_quarter,subscription_ends_in_next_quarter,subscription_end_in_next_quarter,churn_label_q1_rolling,churn_label_q2_rolling,active_sub_at_qend,days_to_contract_end_asof_qend,satisfaction_missing_flag,usage_count_qoq_delta,usage_hours_qoq_delta,active_days_qoq_delta,errors_qoq_delta,features_used_qoq_delta,tickets_opened_qoq_delta,escalations_qoq_delta,seats_qoq_delta,mrr_amount_qoq_delta,arr_amount_qoq_delta,usage_count_roll4_mean,usage_count_vs_roll4_mean,usage_count_roll4_change,usage_hours_roll4_mean,usage_hours_vs_roll4_mean,usage_hours_roll4_change,tickets_opened_roll4_mean,tickets_opened_vs_roll4_mean,tickets_opened_roll4_change,errors_roll4_mean,errors_vs_roll4_mean,errors_roll4_change,features_used_roll4_mean,features_used_vs_roll4_mean,features_used_roll4_change,mrr_amount_roll4_mean,mrr_amount_vs_roll4_mean,mrr_amount_roll4_change,seats_roll4_mean,seats_vs_roll4_mean,seats_roll4_change,usage_drop_flag,tickets_spike_flag,downsell_flag,label_available_q1,label_available_q2
A-038089,2023-12-19,2024Q4,2024-10-01,2024-12-31,1.0,9.0,0.785,0.0,1.0,0.0,0.0,,S-7003c5,Basic,5.0,95.0,1140.0,annual,,2.0,True,0.0,,,0.0,False,0.0,False,,,True,,0,-24.0,-1.9658333333333333,-2.0,0.0,-2.0,0.0,0.0,-31.0,-1669.0,-20028.0,19.5,-10.5,9.0,1.6552777777777776,-0.8702777777777776,0.785,0.5,-0.5,0.0,0.25,-0.25,0.0,1.75,-0.75,1.0,526.0,-431.0,95.0,11.5,-6.5,5.0,1,0,1,False,False
A-039727,2024-11-02,2024Q4,2024-10-01,2024-12-31,6.0,66.0,6.6625,2.0,6.0,0.0,0.0,,,none,0.0,0.0,0.0,none,,1.0,True,0.0,,,1.0,True,0.0,False,,,False,,0,,,,,,,,,,,66.0,0.0,,6.6625,0.0,,0.0,0.0,,2.0,0.0,,6.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,False,False
A-0532a9,2024-09-25,2024Q4,2024-10-01,2024-12-31,10.0,96.0,7.364166666666667,5.0,8.0,1.0,0.0,,S-c1f8e1,Pro,19.0,931.0,11172.0,annual,,1.0,True,0.0,,,0.0,False,0.0,False,,,True,,1,11.0,2.349444444444445,1.0,-2.0,-1.0,0.0,0.0,0.0,570.0,6840.0,90.5,5.5,,6.189444444444444,1.174722222222223,,1.0,0.0,,6.0,-1.0,,8.5,-0.5,,646.0,285.0,,19.0,0.0,,0,0,0,False,False
A-054577,2024-04-28,2024Q4,2024-10-01,2024-12-31,8.0,100.0,10.203333333333333,4.0,9.0,0.0,0.0,,S-62c088,Enterprise,85.0,16915.0,202980.0,monthly,,0.0,False,0.0,,,1.0,True,0.0,False,,,True,,0,77.0,8.048333333333334,5.0,4.0,6.0,0.0,0.0,10.0,1990.0,23880.0,73.33333333333333,26.66666666666667,,6.231296296296296,3.972037037037037,,0.0,0.0,,4.666666666666667,-0.666666666666667,,6.666666666666667,2.333333333333333,,11185.0,5730.0,,65.0,20.0,,0,0,0,False,False
A-05d3b3,2023-05-28,2024Q4,2024-10-01,2024-12-31,6.0,49.0,4.246388888888889,0.0,4.0,1.0,0.0,,S-3ee288,Enterprise,19.0,3781.0,45372.0,annual,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,1,-76.0,-6.266944444444444,-6.0,-2.0,-6.0,0.0,0.0,10.0,3781.0,45372.0,91.75,-42.75,-53.0,7.669583333333334,-3.4231944444444444,-5.148888888888889,0.75,0.25,1.0,3.75,-3.75,-10.0,7.75,-3.75,-5.0,1211.25,2569.75,3249.0,21.0,-2.0,-9.0,1,0,0,False,False
A-05f0e5,2023-05-04,2024Q4,2024-10-01,2024-12-31,12.0,149.0,11.753055555555555,12.0,11.0,1.0,0.0,,S-e5bed6,Pro,58.0,2842.0,34104.0,annual,,1.0,True,0.0,,,0.0,False,0.0,False,,,True,,1,82.0,6.5569444444444445,7.0,11.0,4.0,1.0,0.0,26.0,1274.0,15288.0,91.75,57.25,73.0,7.914513888888889,3.838541666666666,5.523055555555555,0.5,0.5,1.0,5.0,7.0,8.0,7.75,3.25,4.0,5945.5,-3103.5,1778.0,59.5,-1.5,2.0,0,1,0,False,False
A-0651a4,2024-10-16,2024Q4,2024-10-01,2024-12-31,12.0,142.0,9.01361111111111,11.0,10.0,0.0,0.0,,S-8c10c1,Enterprise,65.0,12935.0,155220.0,annual,,2.0,True,0.0,,,1.0,True,0.0,False,,,True,,0,,,,,,,,,,,142.0,0.0,,9.01361111111111,0.0,,0.0,0.0,,11.0,0.0,,10.0,0.0,,12935.0,0.0,,65.0,0.0,,0,0,0,False,False
A-068fc6,2023-07-17,2024Q4,2024-10-01,2024-12-31,6.0,73.0,5.075277777777778,2.0,6.0,0.0,0.0,,,none,0.0,0.0,0.0,none,,0.0,False,0.0,,,1.0,True,0.0,False,,,False,,0,-17.0,-5.982777777777777,-3.0,-8.0,-2.0,0.0,0.0,-35.0,-1715.0,-20580.0,83.25,-10.25,-17.0,7.798055555555555,-2.722777777777777,-4.583055555555555,0.25,-0.25,0.0,4.5,-2.5,-1.0,7.0,-1.0,-2.0,2336.25,-2336.25,-665.0,26.25,-26.25,-35.0,1,0,1,False,False
A-075038,2023-05-12,2024Q4,2024-10-01,2024-12-31,9.0,89.0,4.299722222222222,3.0,9.0,1.0,0.0,3.0,S-da7360,Basic,42.0,798.0,9576.0,monthly,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,-71.0,-9.765833333333333,-6.0,-5.0,-4.0,1.0,0.0,25.0,-2585.0,-31020.0,99.25,-10.25,-15.0,7.12625,-2.8265277777777778,-3.3261111111111115,0.25,0.75,1.0,5.0,-2.0,-4.0,8.75,0.25,1.0,1429.25,-631.25,-35.0,28.25,13.75,25.0,1,1,1,False,False
A-089363,2023-05-06,2024Q4,2024-10-01,2024-12-31,7.0,83.0,8.381388888888889,3.0,7.0,0.0,0.0,,S-00b0bc,Enterprise,9.0,0.0,0.0,annual,,0.0,False,0.0,,,2.0,True,0.0,False,,,True,,0,29.0,3.925,2.0,1.0,1.0,-1.0,0.0,-1.0,-1990.0,-23880.0,76.25,6.75,-7.0,7.365833333333334,1.0155555555555553,-0.25472222222222207,0.25,-0.25,0.0,3.75,-0.75,0.0,7.25,-0.25,-2.0,1243.75,-1243.75,-2985.0,9.0,0.0,-6.0,0,0,1,False,False
A-08e34e,2024-06-27,2024Q4,2024-10-01,2024-12-31,7.0,95.0,5.441666666666666,8.0,8.0,0.0,0.0,,S-6b534f,Enterprise,14.0,2786.0,33432.0,monthly,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,-29.0,-4.231388888888889,-4.0,6.0,-2.0,-1.0,0.0,0.0,2100.0,25200.0,82.0,13.0,,6.239629629629629,-0.7979629629629628,,0.3333333333333333,-0.3333333333333333,,4.333333333333333,3.666666666666667,,7.0,1.0,,1157.3333333333333,1628.6666666666667,,9.333333333333334,4.666666666666666,,0,0,0,False,False
A-09316c,2024-09-11,2024Q4,2024-10-01,2024-12-31,5.0,55.0,4.914166666666667,3.0,5.0,2.0,0.0,3.0,S-d98caa,Enterprise,70.0,13930.0,167160.0,annual,,1.0,True,0.0,,,0.0,False,0.0,False,,,True,,0,-18.0,-0.5674999999999999,-2.0,-1.0,-2.0,2.0,0.0,0.0,0.0,0.0,64.0,-9.0,,5.197916666666666,-0.2837499999999995,,1.0,1.0,,3.5,-0.5,,6.0,-1.0,,13930.0,0.0,,70.0,0.0,,1,1,0,False,False
A-09540c,2023-10-30,2024Q4,2024-10-01,2024-12-31,4.0,38.0,3.5744444444444445,2.0,4.0,0.0,0.0,,S-a18bb2,Pro,67.0,3283.0,39396.0,monthly,,0.0,False,0.0,,,1.0,True,0.0,False,,,True,,0,-26.0,-2.1983333333333333,-1.0,-2.0,-1.0,0.0,0.0,0.0,2010.0,24120.0,33.5,4.5,30.0,3.033263888888889,0.5411805555555556,2.347777777777778,0.25,-0.25,-1.0,2.0,0.0,2.0,3.0,1.0,3.0,4472.25,-1189.25,3283.0,50.25,16.75,67.0,0,0,0,False,False
A-098560,2023-10-21,2024Q4,2024-10-01,2024-12-31,7.0,76.0,4.812222222222222,6.0,7.0,1.0,0.0,3.0,S-27c993,Enterprise,4.0,796.0,9552.0,monthly,,0.0,False,0.0,,,1.0,True,0.0,False,,,True,,0,-1.0,-2.8341666666666665,-1.0,1.0,-1.0,1.0,0.0,-3.0,663.0,7956.0,57.25,18.75,53.0,4.613263888888889,0.19895833333333357,2.4391666666666665,0.25,0.75,1.0,4.5,1.5,4.0,5.75,1.25,4.0,426.75,369.25,208.0,8.25,-4.25,-8.0,0,1,1,False,False
A-0a282f,2024-08-27,2024Q4,2024-10-01,2024-12-31,10.0,104.0,7.334444444444444,5.0,8.0,1.0,0.0,4.0,S-9c414f,Pro,2.0,98.0,1176.0,annual,,2.0,True,0.0,,,2.0,True,0.0,False,,,True,,0,-11.0,-1.9477777777777776,-2.0,-1.0,-3.0,1.0,0.0,-4.0,-1096.0,-13152.0,109.5,-5.5,,8.308333333333334,-0.9738888888888892,,0.5,0.5,,5.5,-0.5,,9.5,-1.5,,646.0,-548.0,,4.0,-2.0,,1,1,1,False,False
A-0a62f5,2024-09-11,2024Q4,2024-10-01,2024-12-31,1.0,11.0,1.6469444444444445,0.0,1.0,1.0,0.0,,S-d8c527,Basic,25.0,475.0,5700.0,monthly,,4.0,True,0.0,,,0.0,False,0.0,False,,,True,,1,-4.0,0.4394444444444445,-1.0,0.0,-1.0,1.0,0.0,9.0,-2709.0,-32508.0,13.0,-2.0,,1.4272222222222224,0.21972222222222215,,0.5,0.5,,0.0,0.0,,1.5,-0.5,,1829.5,-1354.5,,20.5,4.5,,1,1,1,False,False
A-0aaf6e,2024-05-11,2024Q4,2024-10-01,2024-12-31,9.0,97.0,6.005833333333333,5.0,8.0,1.0,0.0,5.0,S-88d746,Enterprise,18.0,3582.0,42984.0,monthly,,0.0,False,0.0,,,1.0,True,0.0,False,,,True,,0,47.0,1.5805555555555557,3.0,4.0,2.0,1.0,0.0,7.0,3582.0,42984.0,64.0,33.0,,5.191296296296296,0.8145370370370371,,0.6666666666666666,0.33333333333333337,,3.0,2.0,,6.0,2.0,,1798.3333333333333,1783.6666666666667,,22.0,-4.0,,0,1,0,False,False
A-0b0d6d,2024-12-30,2024Q4,2024-10-01,2024-12-31,7.0,67.0,5.344444444444444,3.0,7.0,1.0,0.0,,S-5c4dd7,Pro,21.0,1029.0,12348.0,annual,,1.0,True,0.0,,,2.0,True,0.0,False,,,True,,1,,,,,,,,,,,67.0,0.0,,5.344444444444444,0.0,,1.0,0.0,,3.0,0.0,,7.0,0.0,,1029.0,0.0,,21.0,0.0,,0,0,0,False,False
A-0baac2,2024-05-30,2024Q4,2024-10-01,2024-12-31,3.0,23.0,1.726388888888889,1.0,3.0,0.0,0.0,,,none,0.0,0.0,0.0,none,,2.0,True,0.0,,,1.0,True,0.0,False,,,False,,0,11.0,1.5697222222222222,2.0,1.0,2.0,-2.0,0.0,0.0,0.0,0.0,27.333333333333332,-4.333333333333332,,2.383518518518519,-0.6571296296296298,,1.3333333333333333,-1.3333333333333333,,0.6666666666666666,0.33333333333333337,,3.0,0.0,,1923.6666666666667,-1923.6666666666667,,9.666666666666666,-9.666666666666666,,0,0,0,False,False
A-0be015,2024-10-15,2024Q4,2024-10-01,2024-12-31,4.0,47.0,5.516666666666667,0.0,4.0,2.0,1.0,4.0,S-c77c84,Basic,19.0,0.0,0.0,monthly,,1.0,True,0.0,,,1.0,True,0.0,False,,,True,,0,,,,,,,,,,,47.0,0.0,,5.516666666666667,0.0,,2.0,0.0,,0.0,0.0,,4.0,0.0,,0.0,0.0,,19.0,0.0,,0,0,0,False,False
A-0cc442,2024-07-18,2024Q4,2024-10-01,2024-12-31,10.0,97.0,8.1325,8.0,9.0,0.0,0.0,,S-add03a,Enterprise,45.0,8955.0,107460.0,annual,,2.0,True,0.0,,,2.0,True,0.0,False,,,True,,0,11.0,1.7225000000000001,1.0,4.0,2.0,0.0,0.0,-8.0,-1592.0,-19104.0,91.5,5.5,,7.27125,0.8612500000000001,,0.0,0.0,,6.0,2.0,,8.0,1.0,,9751.0,-796.0,,49.0,-4.0,,0,0,1,False,False
A-0dbdc6,2023-02-12,2024Q4,2024-10-01,2024-12-31,6.0,61.0,1.9633333333333334,4.0,6.0,1.0,0.0,5.0,S-de3416,Pro,47.0,2303.0,27636.0,annual,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,-19.0,-5.653333333333332,-2.0,-2.0,-1.0,1.0,0.0,17.0,833.0,9996.0,66.25,-5.25,-38.0,5.190972222222221,-3.227638888888888,-6.576388888888889,0.25,0.75,1.0,4.5,-0.5,-1.0,6.25,-0.25,-3.0,3573.25,-1270.25,1733.0,39.25,7.75,17.0,1,1,0,False,False
A-0e966d,2024-06-25,2024Q4,2024-10-01,2024-12-31,12.0,119.0,8.76361111111111,2.0,11.0,1.0,0.0,4.0,,none,0.0,0.0,0.0,none,,0.0,False,0.0,,,1.0,True,0.0,False,,,False,,0,79.0,6.969166666666666,8.0,-3.0,8.0,0.0,-1.0,-13.0,-637.0,-7644.0,81.33333333333333,37.66666666666667,,5.764444444444444,2.9991666666666665,,0.6666666666666666,0.33333333333333337,,3.3333333333333335,-1.3333333333333335,,7.0,4.0,,1738.0,-1738.0,,12.0,-12.0,,0,0,1,False,False
A-0f3e88,2023-07-23,2024Q4,2024-10-01,2024-12-31,13.0,134.0,11.99388888888889,6.0,11.0,1.0,0.0,4.0,,none,0.0,0.0,0.0,none,,0.0,False,0.0,,,1.0,True,0.0,False,,,False,,0,36.0,5.000000000000001,5.0,-4.0,3.0,0.0,0.0,-17.0,-323.0,-3876.0,94.5,39.5,50.0,7.858333333333333,4.135555555555556,4.522222222222223,0.5,0.5,1.0,4.75,1.25,4.0,8.25,2.75,4.0,708.75,-708.75,-2189.0,11.25,-11.25,-11.0,0,0,1,False,False
A-0f6450,2024-12-27,2024Q4,2024-10-01,2024-12-31,3.0,27.0,3.756111111111111,6.0,3.0,0.0,0.0,,S-9c9700,Basic,28.0,532.0,6384.0,annual,,2.0,True,0.0,,,0.0,False,0.0,False,,,True,,0,,,,,,,,,,,27.0,0.0,,3.756111111111111,0.0,,0.0,0.0,,6.0,0.0,,3.0,0.0,,532.0,0.0,,28.0,0.0,,0,0,0,False,False
A-0f7d77,2024-10-28,2024Q4,2024-10-01,2024-12-31,6.0,57.0,4.517777777777778,10.0,6.0,0.0,0.0,,S-47048b,Basic,7.0,133.0,1596.0,annual,,1.0,True,0.0,,,1.0,True,0.0,False,,,True,,0,,,,,,,,,,,57.0,0.0,,4.517777777777778,0.0,,0.0,0.0,,10.0,0.0,,6.0,0.0,,133.0,0.0,,7.0,0.0,,0,0,0,False,False
A-104f1a,2024-08-17,2024Q4,2024-10-01,2024-12-31,7.0,65.0,7.647222222222222,4.0,7.0,1.0,0.0,,S-2dad6b,Basic,34.0,646.0,7752.0,monthly,,1.0,True,0.0,,,1.0,True,0.0,False,,,True,,1,39.0,5.095555555555555,4.0,3.0,4.0,1.0,0.0,-11.0,646.0,7752.0,45.5,19.5,,5.099444444444444,2.547777777777778,,0.5,0.5,,2.5,1.5,,5.0,2.0,,323.0,323.0,,39.5,-5.5,,0,1,1,False,False
A-10b8da,2023-05-08,2024Q4,2024-10-01,2024-12-31,5.0,56.0,6.179166666666666,3.0,6.0,0.0,0.0,,S-6eb56d,Pro,34.0,1666.0,19992.0,monthly,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,42.0,4.320277777777777,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,31.0,25.0,26.0,2.9172222222222217,3.2619444444444445,3.907222222222222,0.0,0.0,0.0,2.5,0.5,2.0,3.25,2.75,3.0,1071.0,595.0,1400.0,24.0,10.0,20.0,0,0,0,False,False
A-10b8f2,2023-01-11,2024Q4,2024-10-01,2024-12-31,9.0,75.0,7.601111111111111,3.0,8.0,0.0,0.0,,S-1cefc9,Pro,48.0,2352.0,28224.0,annual,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,-27.0,1.8458333333333332,-1.0,3.0,-1.0,0.0,0.0,1.0,2352.0,28224.0,75.0,0.0,-20.0,6.374930555555555,1.2261805555555556,-1.711388888888889,0.25,-0.25,-1.0,1.5,1.5,0.0,7.25,0.75,-2.0,1653.0,699.0,49.0,61.25,-13.25,1.0,0,0,0,False,False
A-117171,2024-09-12,2024Q4,2024-10-01,2024-12-31,2.0,15.0,0.21472222222222223,0.0,2.0,1.0,0.0,4.0,,none,0.0,0.0,0.0,none,,3.0,True,0.0,,,1.0,True,0.0,False,,,False,,0,-26.0,-4.352222222222222,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,28.0,-13.0,,2.390833333333333,-2.176111111111111,,1.0,0.0,,0.5,-0.5,,3.0,-1.0,,0.0,0.0,,0.0,0.0,,1,0,0,False,False
A-118d55,2024-10-22,2024Q4,2024-10-01,2024-12-31,9.0,86.0,8.721111111111112,3.0,8.0,2.0,0.0,4.0,,none,0.0,0.0,0.0,none,,2.0,True,0.0,,,1.0,True,0.0,False,,,False,,0,,,,,,,,,,,86.0,0.0,,8.721111111111112,0.0,,2.0,0.0,,3.0,0.0,,8.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,False,False
A-118f1c,2024-10-31,2024Q4,2024-10-01,2024-12-31,2.0,24.0,0.4488888888888889,1.0,2.0,0.0,0.0,,S-3fb8f4,Enterprise,32.0,6368.0,76416.0,annual,,1.0,True,0.0,,,2.0,True,0.0,False,,,True,,0,,,,,,,,,,,24.0,0.0,,0.4488888888888889,0.0,,0.0,0.0,,1.0,0.0,,2.0,0.0,,6368.0,0.0,,32.0,0.0,,0,0,0,False,False
A-13466a,2023-10-22,2024Q4,2024-10-01,2024-12-31,4.0,38.0,2.723333333333333,1.0,4.0,1.0,1.0,3.0,S-3223a2,Basic,9.0,171.0,2052.0,annual,,0.0,False,0.0,,,2.0,True,0.0,False,,,True,,0,38.0,2.723333333333333,4.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,24.0,14.0,4.0,2.1034027777777777,0.6199305555555554,-0.5186111111111114,0.25,0.75,1.0,1.75,-0.75,0.0,2.0,2.0,2.0,3170.0,-2999.0,-7789.0,20.0,-11.0,-31.0,0,1,0,False,False
A-139c3b,2024-11-21,2024Q4,2024-10-01,2024-12-31,9.0,94.0,8.8975,2.0,9.0,2.0,0.0,4.5,S-e1444a,Basic,21.0,0.0,0.0,annual,,0.0,False,0.0,,,2.0,True,0.0,False,,,True,,0,,,,,,,,,,,94.0,0.0,,8.8975,0.0,,2.0,0.0,,2.0,0.0,,9.0,0.0,,0.0,0.0,,21.0,0.0,,0,0,0,False,False
A-149a69,2024-10-17,2024Q4,2024-10-01,2024-12-31,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,S-4c5456,Basic,34.0,646.0,7752.0,monthly,,1.0,True,0.0,,,0.0,False,0.0,False,,,True,,0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,0.0,,0.0,0.0,,646.0,0.0,,34.0,0.0,,0,0,0,False,False
A-151c9a,2023-01-27,2024Q4,2024-10-01,2024-12-31,6.0,61.0,4.626944444444445,6.0,6.0,0.0,0.0,,S-c033fa,Pro,52.0,2548.0,30576.0,monthly,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,14.0,-0.07833333333333314,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,58.75,2.25,-35.0,5.171180555555556,-0.5442361111111111,-3.4672222222222215,0.5,-0.5,0.0,3.0,3.0,2.0,5.25,0.75,-2.0,3055.25,-507.25,-2029.0,44.75,7.25,29.0,0,0,0,False,False
