account_id,signup_date,period,period_start,period_end,active_days,usage_count,usage_hours,errors,features_used,tickets_opened,escalations,avg_satisfaction,subscription_id_asof_period_end,plan_tier,seats,mrr_amount,arr_amount,billing_frequency,end_date_inferred,account_churn_event_count_in_period,account_churn_event_in_period,account_churn_event_count_in_next_period,account_churn_event_in_next_period,subscription_ends_in_period,subscription_end_in_period,subscription_ends_in_next_period,subscription_end_in_next_period,active_sub_at_period_end,days_to_contract_end_asof_period_end,satisfaction_missing_flag,usage_count_mom_delta,usage_hours_mom_delta,active_days_mom_delta,errors_mom_delta,features_used_mom_delta,tickets_opened_mom_delta,escalations_mom_delta,seats_mom_delta,mrr_amount_mom_delta,arr_amount_mom_delta,usage_count_roll3_mean,usage_count_vs_roll3_mean,usage_count_roll3_change,usage_hours_roll3_mean,usage_hours_vs_roll3_mean,usage_hours_roll3_change,tickets_opened_roll3_mean,tickets_opened_vs_roll3_mean,tickets_opened_roll3_change,errors_roll3_mean,errors_vs_roll3_mean,errors_roll3_change,features_used_roll3_mean,features_used_vs_roll3_mean,features_used_roll3_change,mrr_amount_roll3_mean,mrr_amount_vs_roll3_mean,mrr_amount_roll3_change,seats_roll3_mean,seats_vs_roll3_mean,seats_roll3_change,usage_drop_flag,tickets_spike_flag,downsell_flag
A-038089,2023-12-19,2024-12,2024-12-01,2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S-7003c5,Basic,5.0,95.0,1140.0,annual,,1.0,True,0.0,False,0.0,False,0.0,False,True,,0,-9.0,-0.785,-1.0,0.0,-1.0,0.0,0.0,-31.0,-1669.0,-20028.0,3.0,-3.0,0.0,0.26166666666666666,-0.26166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,0.0,1207.6666666666667,-1112.6666666666667,-1669.0,25.666666666666668,-20.666666666666668,-31.0,1,0,1
A-039727,2024-11-02,2024-12,2024-12-01,2024-12-31,3.0,35.0,2.8366666666666664,2.0,4.0,0.0,0.0,,,none,0.0,0.0,0.0,none,,1.0,True,0.0,False,1.0,True,0.0,False,False,,0,18.0,0.5430555555555552,1.0,2.0,2.0,0.0,0.0,-25.0,-1225.0,-14700.0,26.0,9.0,,2.565138888888889,0.2715277777777776,,0.0,0.0,,1.0,1.0,,3.0,1.0,,612.5,-612.5,,12.5,-12.5,,0,0,1
A-0532a9,2024-09-25,2024-12,2024-12-01,2024-12-31,3.0,26.0,2.173888888888889,1.0,3.0,0.0,0.0,,S-c1f8e1,Pro,19.0,931.0,11172.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,-13.0,0.0708333333333333,-1.0,-2.0,0.0,-1.0,0.0,-2.0,-98.0,-1176.0,32.0,-6.0,-5.0,2.4547222222222222,-0.28083333333333327,-0.9133333333333331,0.3333333333333333,-0.3333333333333333,0.0,1.6666666666666667,-0.6666666666666667,0.0,3.0,0.0,0.0,2444.3333333333335,-1513.3333333333335,-4442.0,22.333333333333332,-3.333333333333332,-8.0,1,0,1
A-054577,2024-04-28,2024-12,2024-12-01,2024-12-31,5.0,60.0,5.9944444444444445,4.0,5.0,0.0,0.0,,S-62c088,Enterprise,85.0,16915.0,202980.0,monthly,,0.0,False,0.0,False,1.0,True,0.0,False,True,,0,20.0,1.7855555555555558,2.0,4.0,1.0,0.0,0.0,60.0,16440.0,197280.0,33.333333333333336,26.666666666666664,60.0,3.401111111111111,2.5933333333333333,5.9944444444444445,0.0,0.0,0.0,1.3333333333333333,2.666666666666667,4.0,3.0,2.0,5.0,5948.666666666667,10966.333333333332,16459.0,44.666666666666664,40.333333333333336,61.0,0,0,0
A-05d3b3,2023-05-28,2024-12,2024-12-01,2024-12-31,2.0,11.0,0.7052777777777778,0.0,2.0,0.0,0.0,,S-3ee288,Enterprise,19.0,3781.0,45372.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,-2.0,0.015555555555555545,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,16.333333333333332,-5.333333333333332,-14.0,1.4154629629629631,-0.7101851851851854,-2.146111111111111,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,3781.0,0.0,0.0,19.0,0.0,0.0,1,0,0
A-05f0e5,2023-05-04,2024-12,2024-12-01,2024-12-31,3.0,48.0,3.9033333333333333,6.0,3.0,0.0,0.0,,S-e5bed6,Pro,58.0,2842.0,34104.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,-20.0,-0.41888888888888864,-3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,49.666666666666664,-1.6666666666666643,15.0,3.917685185185185,-0.014351851851851727,0.37583333333333346,0.3333333333333333,-0.3333333333333333,-1.0,4.0,2.0,6.0,3.6666666666666665,-0.6666666666666665,0.0,2956.3333333333335,-114.33333333333348,-343.0,60.333333333333336,-2.3333333333333357,-7.0,1,0,0
A-0651a4,2024-10-16,2024-12,2024-12-01,2024-12-31,3.0,31.0,1.2441666666666666,2.0,3.0,0.0,0.0,,S-8c10c1,Enterprise,65.0,12935.0,155220.0,annual,,1.0,True,0.0,False,1.0,True,0.0,False,True,,0,-12.0,-2.443888888888889,0.0,-3.0,0.0,0.0,0.0,49.0,12631.0,151572.0,47.333333333333336,-16.333333333333336,-37.0,3.004537037037037,-1.7603703703703704,-2.8372222222222225,0.0,0.0,0.0,3.6666666666666665,-1.6666666666666665,-2.0,3.6666666666666665,-0.6666666666666665,-2.0,8393.0,4542.0,995.0,47.0,18.0,5.0,1,0,0
A-068fc6,2023-07-17,2024-12,2024-12-01,2024-12-31,5.0,61.0,4.785277777777778,2.0,5.0,0.0,0.0,,,none,0.0,0.0,0.0,none,,0.0,False,0.0,False,1.0,True,0.0,False,False,,0,49.0,4.495277777777778,4.0,2.0,4.0,0.0,0.0,-35.0,-665.0,-7980.0,24.333333333333332,36.66666666666667,61.0,1.6917592592592594,3.0935185185185183,4.785277777777778,0.0,0.0,0.0,0.6666666666666666,1.3333333333333335,2.0,2.0,3.0,5.0,443.3333333333333,-443.3333333333333,-665.0,23.333333333333332,-23.333333333333332,-35.0,0,0,1
A-075038,2023-05-12,2024-12,2024-12-01,2024-12-31,1.0,13.0,0.6572222222222223,1.0,1.0,0.0,0.0,,S-da7360,Basic,42.0,798.0,9576.0,monthly,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,-11.0,0.41722222222222227,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,-16.666666666666668,-39.0,1.4332407407407406,-0.7760185185185183,-2.7452777777777775,0.3333333333333333,-0.3333333333333333,-1.0,1.0,0.0,0.0,3.0,-2.0,-4.0,798.0,0.0,0.0,42.0,0.0,0.0,1,0,0
A-089363,2023-05-06,2024-12,2024-12-01,2024-12-31,1.0,18.0,0.455,0.0,1.0,0.0,0.0,,S-00b0bc,Enterprise,9.0,0.0,0.0,annual,,0.0,False,0.0,False,1.0,True,0.0,False,True,,0,-5.0,-2.937222222222222,-1.0,-1.0,-1.0,0.0,0.0,-17.0,-5174.0,-62088.0,27.666666666666668,-9.666666666666668,-24.0,2.7937962962962963,-2.3387962962962963,-4.079166666666667,0.0,0.0,0.0,1.0,-1.0,-2.0,2.3333333333333335,-1.3333333333333335,-3.0,1794.3333333333333,-1794.3333333333333,-209.0,15.333333333333334,-6.333333333333334,-2.0,1,0,1
A-08e34e,2024-06-27,2024-12,2024-12-01,2024-12-31,3.0,36.0,3.2125,2.0,3.0,0.0,0.0,,S-6b534f,Enterprise,14.0,2786.0,33432.0,monthly,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,23.0,3.1619444444444444,2.0,2.0,2.0,0.0,0.0,-15.0,-2985.0,-35820.0,31.666666666666668,4.333333333333332,-10.0,1.8138888888888889,1.398611111111111,1.0338888888888889,0.0,0.0,0.0,2.6666666666666665,-0.6666666666666665,-4.0,2.6666666666666665,0.3333333333333335,-1.0,3081.0,-295.0,2100.0,19.0,-5.0,0.0,0,0,1
A-09316c,2024-09-11,2024-12,2024-12-01,2024-12-31,3.0,39.0,3.278611111111111,0.0,3.0,1.0,0.0,3.0,S-d98caa,Enterprise,70.0,13930.0,167160.0,annual,,1.0,True,0.0,False,0.0,False,0.0,False,True,,0,23.0,1.6430555555555555,1.0,-3.0,1.0,0.0,0.0,0.0,10500.0,126000.0,18.333333333333332,20.666666666666668,39.0,1.6380555555555556,1.6405555555555555,3.278611111111111,0.6666666666666666,0.33333333333333337,1.0,1.0,-1.0,0.0,1.6666666666666667,1.3333333333333333,3.0,5786.666666666667,8143.333333333333,13930.0,70.0,0.0,0.0,0,0,0
A-09540c,2023-10-30,2024-12,2024-12-01,2024-12-31,1.0,12.0,1.01,2.0,1.0,0.0,0.0,,S-a18bb2,Pro,67.0,3283.0,39396.0,monthly,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,12.0,1.01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,-0.6666666666666661,-14.0,1.1914814814814816,-0.18148148148148158,-1.5544444444444443,0.0,0.0,0.0,0.6666666666666666,1.3333333333333335,2.0,1.3333333333333333,-0.33333333333333326,-2.0,2613.0,670.0,2010.0,67.0,0.0,0.0,0,0,0
A-098560,2023-10-21,2024-12,2024-12-01,2024-12-31,2.0,20.0,2.415,0.0,2.0,1.0,0.0,3.0,S-27c993,Enterprise,4.0,796.0,9552.0,monthly,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,8.0,1.9283333333333332,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25.333333333333332,-5.333333333333332,-24.0,1.604074074074074,0.810925925925926,0.5044444444444445,0.3333333333333333,0.6666666666666667,1.0,2.0,-2.0,-6.0,2.3333333333333335,-0.3333333333333335,-2.0,784.0,12.0,36.0,16.0,-12.0,-36.0,0,1,0
A-0a282f,2024-08-27,2024-12,2024-12-01,2024-12-31,7.0,78.0,4.472222222222222,5.0,6.0,0.0,0.0,,S-9c414f,Pro,2.0,98.0,1176.0,annual,,1.0,True,0.0,False,2.0,True,0.0,False,True,,0,52.0,1.6100000000000003,4.0,5.0,3.0,0.0,0.0,1.0,49.0,588.0,34.666666666666664,43.333333333333336,78.0,2.4448148148148148,2.0274074074074075,4.472222222222222,0.3333333333333333,-0.3333333333333333,-1.0,1.6666666666666667,3.333333333333333,5.0,3.0,3.0,6.0,125.0,-27.0,-130.0,5.0,-3.0,-10.0,0,0,0
A-0a62f5,2024-09-11,2024-12,2024-12-01,2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S-d8c527,Basic,25.0,475.0,5700.0,monthly,,3.0,True,0.0,False,0.0,False,0.0,False,True,,0,-11.0,-1.6469444444444445,-1.0,0.0,-1.0,-1.0,0.0,9.0,-309.0,-3708.0,3.6666666666666665,-3.6666666666666665,0.0,0.5489814814814815,-0.5489814814814815,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,0.0,681.0,-206.0,-309.0,19.0,6.0,9.0,1,0,1
A-0aaf6e,2024-05-11,2024-12,2024-12-01,2024-12-31,4.0,43.0,2.3725,4.0,4.0,0.0,0.0,,S-88d746,Enterprise,18.0,3582.0,42984.0,monthly,,0.0,False,0.0,False,1.0,True,0.0,False,True,,0,28.0,0.7541666666666667,2.0,4.0,2.0,0.0,0.0,15.0,3525.0,42300.0,32.333333333333336,10.666666666666664,4.0,2.0019444444444443,0.37055555555555575,0.35749999999999993,0.3333333333333333,-0.3333333333333333,-1.0,1.6666666666666667,2.333333333333333,3.0,3.0,1.0,1.0,1213.0,2369.0,3582.0,10.666666666666666,7.333333333333334,7.0,0,0,0
A-0b0d6d,2024-12-30,2024-12,2024-12-01,2024-12-31,3.0,24.0,2.0119444444444445,2.0,3.0,0.0,0.0,,S-5c4dd7,Pro,21.0,1029.0,12348.0,annual,,1.0,True,0.0,False,2.0,True,0.0,False,True,,0,,,,,,,,,,,24.0,0.0,,2.0119444444444445,0.0,,0.0,0.0,,2.0,0.0,,3.0,0.0,,1029.0,0.0,,21.0,0.0,,0,0,0
A-0baac2,2024-05-30,2024-12,2024-12-01,2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,none,0.0,0.0,0.0,none,,1.0,True,0.0,False,1.0,True,0.0,False,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,-6169.0,-74028.0,7.666666666666667,-7.666666666666667,-23.0,0.575462962962963,-0.575462962962963,-1.726388888888889,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,-1.0,1.0,-1.0,-3.0,4112.666666666667,-4112.666666666667,-6169.0,20.666666666666668,-20.666666666666668,-31.0,0,0,1
A-0be015,2024-10-15,2024-12,2024-12-01,2024-12-31,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,S-c77c84,Basic,19.0,0.0,0.0,monthly,,1.0,True,0.0,False,0.0,False,0.0,False,True,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-456.0,-5472.0,15.666666666666666,-15.666666666666666,-47.0,1.8388888888888888,-1.8388888888888888,-5.516666666666667,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,0.0,1.3333333333333333,-1.3333333333333333,-4.0,272.3333333333333,-272.3333333333333,-361.0,20.666666666666668,-1.6666666666666679,0.0,0,0,1
A-0cc442,2024-07-18,2024-12,2024-12-01,2024-12-31,2.0,24.0,1.0977777777777777,0.0,2.0,0.0,0.0,,S-add03a,Enterprise,45.0,8955.0,107460.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,0.0,-1.3308333333333333,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,32.333333333333336,-8.333333333333336,-25.0,2.7108333333333334,-1.6130555555555557,-3.508333333333333,0.0,0.0,0.0,2.6666666666666665,-2.6666666666666665,-8.0,3.3333333333333335,-1.3333333333333335,-3.0,6255.0,2700.0,8100.0,45.0,0.0,0.0,0,0,0
A-0dbdc6,2023-02-12,2024-12,2024-12-01,2024-12-31,3.0,25.0,1.1777777777777778,4.0,3.0,0.0,0.0,,S-de3416,Pro,47.0,2303.0,27636.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,25.0,1.1777777777777778,3.0,4.0,3.0,0.0,0.0,17.0,-3667.0,-44004.0,20.333333333333332,4.666666666666668,-11.0,0.6544444444444445,0.5233333333333333,0.39222222222222225,0.3333333333333333,-0.3333333333333333,-1.0,1.3333333333333333,2.666666666666667,4.0,2.0,1.0,0.0,4747.666666666667,-2444.666666666667,-3667.0,35.666666666666664,11.333333333333336,17.0,0,0,1
A-0e966d,2024-06-25,2024-12,2024-12-01,2024-12-31,4.0,39.0,2.215,1.0,4.0,1.0,0.0,4.0,,none,0.0,0.0,0.0,none,,0.0,False,0.0,False,0.0,False,0.0,False,False,,0,13.0,-1.386388888888889,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,39.666666666666664,-0.6666666666666643,-15.0,2.9212037037037035,-0.7062037037037037,-0.7322222222222226,0.3333333333333333,0.6666666666666667,1.0,0.6666666666666666,0.33333333333333337,1.0,4.0,0.0,-1.0,139.33333333333334,-139.33333333333334,-418.0,7.333333333333333,-7.333333333333333,-22.0,0,1,0
A-0f3e88,2023-07-23,2024-12,2024-12-01,2024-12-31,5.0,44.0,5.205277777777778,3.0,5.0,0.0,0.0,,,none,0.0,0.0,0.0,none,,0.0,False,0.0,False,1.0,True,0.0,False,False,,0,-15.0,0.6669444444444448,0.0,2.0,1.0,0.0,0.0,-17.0,-323.0,-3876.0,44.666666666666664,-0.6666666666666643,13.0,3.9979629629629634,1.2073148148148145,2.955,0.3333333333333333,-0.3333333333333333,-1.0,2.0,1.0,1.0,4.0,1.0,2.0,177.33333333333334,-177.33333333333334,-209.0,9.333333333333334,-9.333333333333334,-11.0,1,0,1
A-0f6450,2024-12-27,2024-12,2024-12-01,2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S-9c9700,Basic,28.0,532.0,6384.0,annual,,2.0,True,0.0,False,0.0,False,0.0,False,True,,0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,532.0,0.0,,28.0,0.0,,0,0,0
A-0f7d77,2024-10-28,2024-12,2024-12-01,2024-12-31,2.0,23.0,2.507222222222222,1.0,2.0,0.0,0.0,,S-47048b,Basic,7.0,133.0,1596.0,annual,,0.0,False,0.0,False,1.0,True,0.0,False,True,,0,-5.0,0.6483333333333332,-1.0,-4.0,-1.0,0.0,0.0,-4.0,-406.0,-4872.0,19.0,4.0,17.0,1.5059259259259257,1.0012962962962964,2.355555555555555,0.0,0.0,0.0,3.3333333333333335,-2.3333333333333335,-3.0,2.0,0.0,1.0,224.0,-91.0,133.0,6.0,1.0,7.0,0,0,1
A-104f1a,2024-08-17,2024-12,2024-12-01,2024-12-31,2.0,22.0,2.8644444444444446,0.0,2.0,1.0,0.0,,S-2dad6b,Basic,34.0,646.0,7752.0,monthly,,1.0,True,0.0,False,0.0,False,0.0,False,True,,1,-16.0,-1.5891666666666664,-2.0,-4.0,-2.0,1.0,0.0,10.0,190.0,2280.0,21.666666666666668,0.33333333333333215,17.0,2.549074074074074,0.3153703703703705,2.535277777777778,0.3333333333333333,0.6666666666666667,1.0,1.3333333333333333,-1.3333333333333333,0.0,2.3333333333333335,-0.3333333333333335,1.0,759.3333333333334,-113.33333333333337,-530.0,27.333333333333332,6.666666666666668,10.0,0,1,0
A-10b8da,2023-05-08,2024-12,2024-12-01,2024-12-31,2.0,22.0,3.023888888888889,3.0,2.0,0.0,0.0,,S-6eb56d,Pro,34.0,1666.0,19992.0,monthly,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,22.0,3.023888888888889,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,18.666666666666668,3.333333333333332,-12.0,2.059722222222222,0.9641666666666673,-0.13138888888888856,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,-2.0,1666.0,0.0,0.0,34.0,0.0,0.0,0,0,0
A-10b8f2,2023-01-11,2024-12,2024-12-01,2024-12-31,5.0,38.0,3.6880555555555556,3.0,5.0,0.0,0.0,,S-1cefc9,Pro,48.0,2352.0,28224.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,11.0,1.4333333333333336,2.0,3.0,2.0,0.0,0.0,1.0,2352.0,28224.0,25.0,13.0,28.0,2.5337037037037033,1.1543518518518523,2.0297222222222224,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,4.0,784.0,1568.0,2352.0,47.333333333333336,0.6666666666666643,1.0,0,0,0
A-117171,2024-09-12,2024-12,2024-12-01,2024-12-31,1.0,7.0,0.17694444444444443,0.0,1.0,1.0,0.0,4.0,,none,0.0,0.0,0.0,none,,0.0,False,0.0,False,1.0,True,0.0,False,False,,0,-1.0,0.13916666666666666,0.0,0.0,0.0,1.0,0.0,-45.0,0.0,0.0,5.0,2.0,7.0,0.07157407407407407,0.10537037037037036,0.17694444444444443,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,0.0,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,0.0,30.0,-30.0,-45.0,0,1,1
A-118d55,2024-10-22,2024-12,2024-12-01,2024-12-31,3.0,27.0,1.4402777777777778,1.0,3.0,2.0,0.0,4.0,,none,0.0,0.0,0.0,none,,1.0,True,0.0,False,1.0,True,0.0,False,False,,0,12.0,-0.49944444444444436,1.0,0.0,1.0,2.0,0.0,-16.0,-3184.0,-38208.0,28.666666666666668,-1.6666666666666679,-17.0,2.907037037037037,-1.466759259259259,-3.9008333333333334,0.6666666666666666,1.3333333333333335,2.0,1.0,0.0,0.0,2.6666666666666665,0.3333333333333335,0.0,1592.0,-1592.0,-1592.0,8.0,-8.0,-8.0,0,1,1
